oferta_ganadora,marca,modelo,año,antiguedad,kilometraje,km_por_año,transmisión,combustible,cilindrada,tracción,valor_inicial,numero_pujas,visitas,ratio_oferta_inicial,mandante,numero_propietarios,meses_dueño_actual,funciona,tiene_llaves,es_chatarra,limitaciones_dominio,permiso_circulacion_vigente,revision_tecnica_vigente,tiene_multas,monto_multas_utm
6600000,BMW,520,2014,11,100997.0,8416.416666666666,AUTOMATICA,GASOLINA,2.0,4X2,2000000,10,2.538,3.3,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
6600000,BMW,520,2014,11,100997.0,8416.416666666666,AUTOMATICA,GASOLINA,2.0,4X2,2000000,10,2.538,3.3,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
6600000,BMW,520,2014,11,100997.0,8416.416666666666,AUTOMATICA,GASOLINA,2.0,4X2,2000000,10,2.538,3.3,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
6600000,BMW,520,2014,11,100997.0,8416.416666666666,AUTOMATICA,GASOLINA,2.0,4X2,2000000,10,2.538,3.3,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
6600000,BMW,520,2014,11,100997.0,8416.416666666666,AUTOMATICA,GASOLINA,2.0,4X2,2000000,10,2.538,3.3,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
6600000,BMW,520,2014,11,100997.0,8416.416666666666,AUTOMATICA,GASOLINA,2.0,4X2,2000000,10,2.538,3.3,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
6600000,BMW,520,2014,11,100997.0,8416.416666666666,AUTOMATICA,GASOLINA,2.0,4X2,2000000,10,2.538,3.3,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
6600000,BMW,520,2014,11,100997.0,8416.416666666666,AUTOMATICA,GASOLINA,2.0,4X2,2000000,10,2.538,3.3,Cia. Seguros,2.0,16.0,1,1,0,0,1,1,1,2.0
6600000,BMW,520,2014,11,100997.0,8416.416666666666,AUTOMATICA,GASOLINA,2.0,4X2,2000000,10,2.538,3.3,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
6600000,BMW,520,2014,11,100997.0,8416.416666666666,AUTOMATICA,GASOLINA,2.0,4X2,2000000,10,2.538,3.3,Cia. Seguros,2.0,16.0,1,1,0,0,1,1,1,1.5
2900000,BMW,530,2009,16,90527.0,5325.117647058823,AUTOMATICA,GASOLINA,2.0,4X2,2000000,5,971.0,1.45,Cia. Seguros,7.0,16.0,0,0,0,0,0,0,0,0.0
2900000,BMW,530,2009,16,90527.0,5325.117647058823,AUTOMATICA,GASOLINA,2.0,4X2,2000000,5,971.0,1.45,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
2900000,BMW,530,2009,16,90527.0,5325.117647058823,AUTOMATICA,GASOLINA,2.0,4X2,2000000,5,971.0,1.45,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
2900000,BMW,530,2009,16,90527.0,5325.117647058823,AUTOMATICA,GASOLINA,2.0,4X2,2000000,5,971.0,1.45,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
2900000,BMW,530,2009,16,90527.0,5325.117647058823,AUTOMATICA,GASOLINA,2.0,4X2,2000000,5,971.0,1.45,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
2900000,BMW,530,2009,16,90527.0,5325.117647058823,AUTOMATICA,GASOLINA,2.0,4X2,2000000,5,971.0,1.45,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
2900000,BMW,530,2009,16,90527.0,5325.117647058823,AUTOMATICA,GASOLINA,2.0,4X2,2000000,5,971.0,1.45,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
2900000,BMW,530,2009,16,90527.0,5325.117647058823,AUTOMATICA,GASOLINA,2.0,4X2,2000000,5,971.0,1.45,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
2900000,BMW,530,2009,16,90527.0,5325.117647058823,AUTOMATICA,GASOLINA,2.0,4X2,2000000,5,971.0,1.45,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
2900000,BMW,530,2009,16,90527.0,5325.117647058823,AUTOMATICA,GASOLINA,2.0,4X2,2000000,5,971.0,1.45,Cia. Seguros,2.0,16.0,1,1,0,0,1,1,1,2.0
2900000,BMW,530,2009,16,90527.0,5325.117647058823,AUTOMATICA,GASOLINA,2.0,4X2,2000000,5,971.0,1.45,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
2900000,BMW,530,2009,16,90527.0,5325.117647058823,AUTOMATICA,GASOLINA,2.0,4X2,2000000,5,971.0,1.45,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
8600000,MERCEDES BENZ,C,2017,8,104613.0,11623.666666666666,AUTOMATICA,GASOLINA,2.1,4X2,3000000,10,1.753,2.8666666666666667,Cia. Seguros,6.0,22.0,0,0,0,0,0,0,0,0.0
8600000,MERCEDES BENZ,C,2017,8,104613.0,11623.666666666666,AUTOMATICA,GASOLINA,2.1,4X2,3000000,10,1.753,2.8666666666666667,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
8600000,MERCEDES BENZ,C,2017,8,104613.0,11623.666666666666,AUTOMATICA,GASOLINA,2.1,4X2,3000000,10,1.753,2.8666666666666667,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
8600000,MERCEDES BENZ,C,2017,8,104613.0,11623.666666666666,AUTOMATICA,GASOLINA,2.1,4X2,3000000,10,1.753,2.8666666666666667,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
8600000,MERCEDES BENZ,C,2017,8,104613.0,11623.666666666666,AUTOMATICA,GASOLINA,2.1,4X2,3000000,10,1.753,2.8666666666666667,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
8600000,MERCEDES BENZ,C,2017,8,104613.0,11623.666666666666,AUTOMATICA,GASOLINA,2.1,4X2,3000000,10,1.753,2.8666666666666667,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
8600000,MERCEDES BENZ,C,2017,8,104613.0,11623.666666666666,AUTOMATICA,GASOLINA,2.1,4X2,3000000,10,1.753,2.8666666666666667,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
8600000,MERCEDES BENZ,C,2017,8,104613.0,11623.666666666666,AUTOMATICA,GASOLINA,2.1,4X2,3000000,10,1.753,2.8666666666666667,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
